0	372
0	991
0	1196
0	1110
1	1512
1	98
1	1521
1	101
1	98
1	840
1	864
1	1349
2	349
2	854
2	896
2	103
3	1390
3	613
3	706
3	571
4	246
4	6
4	246
4	187
4	935
4	791
4	850
4	337
5	1546
5	1288
5	1085
5	132
6	1019
6	844
6	138
6	841
6	290
6	1096
6	40
6	1253
7	1117
7	1117
7	1328
7	613
8	349
8	1176
8	135
8	889
9	628
9	1325
9	580
9	1132
10	659
10	905
10	965
10	430
11	1188
11	1500
11	1115
11	956
12	1473
12	464
12	591
12	278
13	175
13	300
13	297
13	297
14	613
14	566
14	1342
14	878
14	1187
14	841
14	590
14	725
15	348
15	349
15	1281
15	888
16	1166
16	283
16	1391
16	777
16	1195
16	86
16	988
16	495
16	173
16	736
16	37
16	888
16	101
16	649
16	636
16	45
16	694
16	415
16	466
16	98
17	741
17	613
17	386
17	1400
17	636
17	837
17	636
17	1004
17	1104
17	646
17	20
17	1149
17	88
17	135
17	889
17	1277
17	1137
17	871
17	29
17	430
17	1019
17	1026
17	451
18	1138
18	465
18	161
18	1137
18	605
18	890
18	1342
18	539
19	1528
19	596
19	1528
20	608
20	608
20	144
20	440
21	1337
21	1291
21	228
21	593
22	1198
22	1476
22	1354
23	1096
23	432
23	744
23	492
24	571
24	144
24	523
24	523
25	1473
25	1421
25	526
25	74
26	951
26	1449
26	374
26	921
27	407
27	952
27	822
28	952
28	593
28	1310
28	1545
29	1449
29	587
29	640
29	844
30	1159
30	1096
30	534
30	156
31	86
31	436
31	777
31	74
32	1083
32	613
32	1072
32	100
33	420
33	940
33	337
33	1229
34	404
34	250
34	526
34	1541
35	1509
35	604
35	791
35	792
36	402
36	304
36	402
37	921
37	333
37	1132
37	60
37	921
37	1458
37	1355
37	530
38	661
38	661
38	234
38	857
39	613
39	1516
40	640
40	17
40	1337
40	111
40	1390
40	1245
40	1166
40	612
41	151
41	921
41	1221
41	988
42	634
42	1550
42	1229
42	267
43	383
43	1196
43	383
43	1196
44	639
44	679
44	977
44	633
45	808
45	741
45	613
45	1214
46	571
46	1222
46	558
46	1449
46	658
46	1525
46	73
46	495
46	826
46	297
46	1271
46	495
46	415
46	1228
46	415
46	1159
46	949
46	408
46	206
46	656
46	1550
46	261
46	645
46	1349
47	433
47	802
47	658
47	1407
48	1149
48	1019
48	1434
48	1434
48	274
48	603
48	498
48	248
49	1031
49	1201
49	946
49	531
50	917
50	1342
50	707
50	1310
51	1019
51	1186
51	1407
51	1041
52	829
52	702
52	465
52	474
53	688
53	278
53	1480
53	953
53	878
53	1133
53	1059
53	1435
54	761
54	760
54	557
54	308
55	948
55	416
55	1374
55	978
56	416
56	555
56	1240
56	161
57	1407
57	1294
57	1308
57	1466
58	1310
58	20
58	1381
58	531
59	659
59	953
59	557
59	531
60	906
60	640
60	658
60	802
61	613
61	1177
61	593
61	174
61	524
61	1159
61	946
61	415
62	98
62	942
62	275
62	83
63	688
63	185
63	688
63	1173
64	481
64	349
64	562
64	669
65	590
65	945
65	1091
65	1253
66	23
66	509
66	1413
66	646
66	656
66	349
66	1454
66	1435
67	1091
67	900
67	319
67	1037
68	1441
68	332
68	323
68	478
69	275
69	513
69	415
69	46
70	197
70	936
70	16
70	1083
71	349
71	571
71	991
71	415
72	744
72	921
72	245
72	241
73	495
73	128
73	1022
73	477
74	582
74	990
74	283
74	1374
75	582
75	768
75	1007
75	890
75	228
75	370
75	989
75	414
76	524
76	61
76	1435
76	355
77	328
77	1476
77	1354
77	931
78	1474
78	579
78	622
78	970
79	87
79	1042
79	960
79	1042
80	37
80	365
80	416
80	1449
80	238
80	98
80	437
80	844
80	1177
80	1473
80	1313
80	51
80	281
80	1264
80	1189
80	672
80	888
80	311
80	1099
80	1208
80	1495
80	52
80	951
80	1449
80	557
80	1435
80	1291
80	988
80	1546
80	1215
80	1324
80	1364
80	836
80	770
80	991
80	1268
80	1069
80	736
80	1521
80	274
81	1006
81	844
81	351
81	466
81	670
81	385
81	164
81	871
82	80
82	1279
82	890
82	1395
83	792
83	1301
83	843
83	1294
84	526
84	1045
84	1387
84	474
85	366
85	478
85	349
85	659
85	106
85	239
85	888
85	517
85	707
85	915
85	435
85	1119
86	495
86	1026
86	1022
86	1210
86	469
86	411
86	761
86	736
86	1389
86	620
86	1389
86	88
86	695
86	731
86	436
86	548
86	991
86	998
